CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 0.730469 1552760497.0862
MEM 12.402344 1552760497.1939
MEM 21.664062 1552760497.3016
MEM 26.785156 1552760497.4083
MEM 36.417969 1552760497.5180
MEM 43.835938 1552760497.6257
MEM 51.960938 1552760497.7324
MEM 58.082031 1552760497.8401
MEM 61.253906 1552760497.9528
MEM 63.867188 1552760498.0655
MEM 65.316406 1552760498.1792
MEM 65.835938 1552760498.2869
MEM 65.898438 1552760498.3966
MEM 65.898438 1552760498.5054
MEM 68.832031 1552760498.6151
MEM 73.074219 1552760498.7317
MEM 76.800781 1552760498.8425
MEM 77.515625 1552760498.9522
MEM 77.582031 1552760499.0599
MEM 77.644531 1552760499.1686
MEM 77.781250 1552760499.2753
MEM 78.039062 1552760499.3820
MEM 78.195312 1552760499.4907
MEM 78.277344 1552760499.6014
MEM 78.332031 1552760499.7131
MEM 78.406250 1552760499.8228
MEM 78.523438 1552760499.9415
MEM 78.523438 1552760500.0522
MEM 78.523438 1552760500.1609
MEM 78.542969 1552760500.2696
MEM 78.593750 1552760500.3763
MEM 78.796875 1552760500.4841
MEM 78.796875 1552760500.5908
MEM 78.808594 1552760500.6985
MEM 78.820312 1552760500.8082
MEM 79.007812 1552760500.9179
MEM 79.132812 1552760501.0266
MEM 79.132812 1552760501.1363
MEM 79.136719 1552760501.2450
MEM 79.144531 1552760501.3517
MEM 79.207031 1552760501.4584
MEM 79.343750 1552760501.5662
MEM 79.343750 1552760501.6739
MEM 79.343750 1552760501.7816
MEM 79.406250 1552760501.8893
MEM 79.406250 1552760502.0040
MEM 79.484375 1552760502.1147
MEM 79.507812 1552760502.2234
MEM 79.507812 1552760502.3311
MEM 79.511719 1552760502.4448
MEM 79.535156 1552760502.5515
MEM 79.640625 1552760502.6592
MEM 79.777344 1552760502.7669
MEM 79.800781 1552760502.8747
MEM 79.808594 1552760502.9824
MEM 79.832031 1552760503.0921
MEM 79.980469 1552760503.2008
MEM 79.992188 1552760503.3434
MEM 79.992188 1552760503.4770
MEM 79.992188 1552760503.6257
MEM 80.019531 1552760503.7703
MEM 80.015625 1552760503.8959
MEM 80.015625 1552760504.0046
MEM 80.019531 1552760504.1123
MEM 80.019531 1552760504.2201
MEM 80.019531 1552760504.3278
MEM 80.019531 1552760504.4355
MEM 80.019531 1552760504.5432
MEM 80.019531 1552760504.6509
MEM 80.019531 1552760504.7586
MEM 80.019531 1552760504.8663
MEM 80.019531 1552760504.9740
MEM 80.085938 1552760505.0808
MEM 80.281250 1552760505.1895
MEM 80.281250 1552760505.2982
MEM 80.281250 1552760505.4059
MEM 80.281250 1552760505.5166
MEM 80.343750 1552760505.6243
MEM 80.433594 1552760505.7370
MEM 80.433594 1552760505.8487
MEM 80.437500 1552760505.9554
MEM 80.437500 1552760506.0631
MEM 80.488281 1552760506.1728
MEM 80.628906 1552760506.2805
MEM 80.683594 1552760506.3893
MEM 80.757812 1552760506.4960
MEM 80.769531 1552760506.6087
MEM 81.066406 1552760506.7164
MEM 81.093750 1552760506.8241
MEM 81.093750 1552760506.9308
MEM 81.093750 1552760507.0405
MEM 81.093750 1552760507.1482
MEM 81.222656 1552760507.2549
MEM 81.296875 1552760507.3617
MEM 81.359375 1552760507.4684
MEM 81.359375 1552760507.5761
MEM 81.363281 1552760507.6858
MEM 81.363281 1552760507.7945
MEM 81.550781 1552760507.9012
MEM 81.554688 1552760508.0149
MEM 81.554688 1552760508.1236
MEM 81.554688 1552760508.2323
MEM 81.558594 1552760508.3410
MEM 81.644531 1552760508.4477
MEM 81.906250 1552760508.5555
MEM 81.906250 1552760508.6632
MEM 81.906250 1552760508.7699
MEM 81.917969 1552760508.8816
MEM 81.992188 1552760508.9933
MEM 82.027344 1552760509.1209
MEM 82.027344 1552760509.2556
MEM 82.027344 1552760509.3932
MEM 82.027344 1552760509.5279
MEM 82.050781 1552760509.6356
MEM 82.191406 1552760509.7433
MEM 82.261719 1552760509.8500
MEM 82.277344 1552760509.9577
MEM 82.300781 1552760510.0694
MEM 82.304688 1552760510.1811
MEM 82.492188 1552760510.2888
MEM 82.492188 1552760510.3975
MEM 82.492188 1552760510.5052
MEM 82.492188 1552760510.6169
MEM 82.496094 1552760510.7257
MEM 82.558594 1552760510.8344
MEM 82.695312 1552760510.9421
MEM 82.757812 1552760511.0488
MEM 82.757812 1552760511.1565
MEM 82.757812 1552760511.2642
MEM 82.769531 1552760511.3729
MEM 82.917969 1552760511.4836
MEM 82.925781 1552760511.5953
MEM 82.925781 1552760511.7050
MEM 82.925781 1552760511.8157
MEM 82.960938 1552760511.9234
MEM 83.132812 1552760512.0312
MEM 83.253906 1552760512.1389
MEM 83.328125 1552760512.2476
MEM 83.328125 1552760512.3553
MEM 83.414062 1552760512.4670
MEM 83.507812 1552760512.5747
MEM 83.507812 1552760512.6894
MEM 83.507812 1552760512.7961
MEM 83.507812 1552760512.9028
MEM 83.609375 1552760513.0115
MEM 83.750000 1552760513.1192
MEM 83.773438 1552760513.2260
MEM 83.773438 1552760513.3327
MEM 83.785156 1552760513.4414
MEM 84.050781 1552760513.5511
MEM 84.132812 1552760513.6628
MEM 84.132812 1552760513.7705
MEM 84.132812 1552760513.8832
MEM 84.136719 1552760513.9899
MEM 84.199219 1552760514.0966
MEM 84.316406 1552760514.2043
MEM 84.398438 1552760514.3121
MEM 84.398438 1552760514.4188
MEM 84.398438 1552760514.5255
MEM 84.398438 1552760514.6851
MEM 84.503906 1552760514.8057
MEM 84.515625 1552760514.9394
MEM 84.515625 1552760515.0770
MEM 84.515625 1552760515.1917
MEM 84.519531 1552760515.2984
MEM 84.601562 1552760515.4071
MEM 84.664062 1552760515.5148
MEM 84.753906 1552760515.6225
MEM 84.765625 1552760515.7313
MEM 84.773438 1552760515.8410
MEM 84.792969 1552760515.9487
MEM 84.988281 1552760516.0634
MEM 85.000000 1552760516.1721
MEM 85.000000 1552760516.2818
MEM 85.000000 1552760516.3915
MEM 85.000000 1552760516.5002
MEM 85.054688 1552760516.6089
MEM 85.199219 1552760516.7166
MEM 85.273438 1552760516.8243
MEM 85.273438 1552760516.9310
MEM 85.285156 1552760517.0398
MEM 85.457031 1552760517.1475
MEM 85.472656 1552760517.2602
MEM 85.472656 1552760517.3689
MEM 85.472656 1552760517.4766
MEM 85.476562 1552760517.5843
MEM 85.601562 1552760517.6910
MEM 85.660156 1552760517.7977
MEM 85.738281 1552760517.9054
MEM 85.738281 1552760518.0132
MEM 85.738281 1552760518.1239
MEM 85.878906 1552760518.2316
MEM 85.890625 1552760518.3393
MEM 85.890625 1552760518.4460
MEM 85.890625 1552760518.5577
MEM 85.894531 1552760518.6654
MEM 85.937500 1552760518.7721
MEM 86.140625 1552760518.8808
MEM 86.171875 1552760518.9965
MEM 86.179688 1552760519.1042
MEM 86.199219 1552760519.2119
MEM 86.277344 1552760519.3217
MEM 86.351562 1552760519.4334
MEM 86.351562 1552760519.5421
MEM 86.351562 1552760519.6508
MEM 86.355469 1552760519.7585
MEM 86.417969 1552760519.8662
MEM 86.617188 1552760519.9739
MEM 86.683594 1552760520.0916
MEM 86.695312 1552760520.2232
MEM 86.757812 1552760520.3549
MEM 86.816406 1552760520.4676
MEM 86.929688 1552760520.5863
MEM 86.929688 1552760520.7050
MEM 86.929688 1552760520.8466
MEM 86.929688 1552760520.9583
MEM 86.929688 1552760521.0660
MEM 86.992188 1552760521.1737
MEM 87.066406 1552760521.2804
MEM 87.191406 1552760521.3891
MEM 87.191406 1552760521.4968
MEM 87.203125 1552760521.6045
MEM 87.582031 1552760521.7123
MEM 87.640625 1552760521.8220
MEM 87.640625 1552760521.9317
MEM 87.640625 1552760522.0404
MEM 87.644531 1552760522.1471
MEM 87.707031 1552760522.2538
MEM 87.769531 1552760522.3615
MEM 87.906250 1552760522.4702
MEM 87.906250 1552760522.5779
MEM 87.906250 1552760522.6896
MEM 88.093750 1552760522.8023
MEM 88.160156 1552760522.9110
MEM 88.160156 1552760523.0188
MEM 88.160156 1552760523.1305
MEM 88.164062 1552760523.2382
MEM 88.226562 1552760523.3459
MEM 88.363281 1552760523.4526
MEM 88.363281 1552760523.5603
MEM 88.425781 1552760523.6670
MEM 88.425781 1552760523.7747
MEM 88.437500 1552760523.8844
MEM 88.531250 1552760523.9942
MEM 88.542969 1552760524.1039
MEM 88.542969 1552760524.2126
MEM 88.542969 1552760524.3193
MEM 88.546875 1552760524.4290
MEM 88.703125 1552760524.5387
MEM 88.777344 1552760524.6464
MEM 88.785156 1552760524.7531
MEM 88.792969 1552760524.8608
MEM 88.792969 1552760524.9685
MEM 88.804688 1552760525.0763
MEM 88.968750 1552760525.1850
MEM 88.968750 1552760525.2987
MEM 88.968750 1552760525.4084
MEM 88.968750 1552760525.5161
MEM 88.968750 1552760525.6258
MEM 89.035156 1552760525.7325
MEM 89.238281 1552760525.8402
MEM 89.300781 1552760525.9509
MEM 89.390625 1552760526.0666
MEM 89.390625 1552760526.1913
MEM 89.390625 1552760526.3040
MEM 89.394531 1552760526.4107
MEM 89.531250 1552760526.5214
MEM 89.531250 1552760526.6361
MEM 89.531250 1552760526.7448
MEM 89.531250 1552760526.8515
MEM 89.593750 1552760526.9602
MEM 89.722656 1552760527.0669
MEM 89.812500 1552760527.1746
MEM 89.875000 1552760527.2833
MEM 89.886719 1552760527.3921
MEM 89.949219 1552760527.5038
MEM 90.003906 1552760527.6175
MEM 90.015625 1552760527.7272
MEM 90.015625 1552760527.8359
MEM 90.019531 1552760527.9436
MEM 90.042969 1552760528.0513
MEM 90.195312 1552760528.1580
MEM 90.269531 1552760528.2657
MEM 90.281250 1552760528.3724
MEM 90.304688 1552760528.4801
MEM 90.304688 1552760528.5879
MEM 90.457031 1552760528.6976
MEM 90.468750 1552760528.8083
MEM 90.468750 1552760528.9170
MEM 90.468750 1552760529.0247
