CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 0.726562 1552699665.6885
MEM 12.625000 1552699665.7953
MEM 21.851562 1552699665.9040
MEM 29.000000 1552699666.0117
MEM 37.101562 1552699666.1174
MEM 44.589844 1552699666.2241
MEM 52.531250 1552699666.3328
MEM 58.089844 1552699666.4395
MEM 62.988281 1552699666.5462
MEM 65.371094 1552699666.6520
MEM 65.445312 1552699666.7607
MEM 65.445312 1552699666.8664
MEM 67.625000 1552699666.9751
MEM 72.609375 1552699667.0818
MEM 76.617188 1552699667.1895
MEM 77.179688 1552699667.2982
MEM 77.222656 1552699667.4070
MEM 77.285156 1552699667.5157
MEM 77.328125 1552699667.6224
MEM 77.546875 1552699667.7281
MEM 77.722656 1552699667.8348
MEM 77.781250 1552699667.9415
MEM 77.859375 1552699668.0492
MEM 77.867188 1552699668.1559
MEM 77.878906 1552699668.2636
MEM 77.933594 1552699668.3734
MEM 78.144531 1552699668.4960
MEM 78.148438 1552699668.6037
MEM 78.148438 1552699668.7154
MEM 78.152344 1552699668.8251
MEM 78.160156 1552699668.9408
MEM 78.199219 1552699669.0505
MEM 78.324219 1552699669.1642
MEM 78.328125 1552699669.2839
MEM 78.390625 1552699669.3896
MEM 78.390625 1552699669.4954
MEM 78.390625 1552699669.6021
MEM 78.390625 1552699669.7098
MEM 78.417969 1552699669.8165
MEM 78.417969 1552699669.9242
MEM 78.628906 1552699670.0339
MEM 78.636719 1552699670.1406
MEM 78.636719 1552699670.2523
MEM 78.636719 1552699670.3590
MEM 78.640625 1552699670.4668
MEM 78.703125 1552699670.5725
MEM 78.828125 1552699670.6822
MEM 78.964844 1552699670.7889
MEM 78.964844 1552699670.8946
MEM 78.964844 1552699671.0013
MEM 78.964844 1552699671.1100
MEM 78.976562 1552699671.2177
MEM 79.269531 1552699671.3314
MEM 79.281250 1552699671.4392
MEM 79.285156 1552699671.5489
MEM 79.289062 1552699671.6566
MEM 79.292969 1552699671.7633
MEM 79.292969 1552699671.8690
MEM 79.394531 1552699671.9757
MEM 79.570312 1552699672.0844
MEM 79.570312 1552699672.1921
MEM 79.570312 1552699672.3008
MEM 79.574219 1552699672.4086
MEM 79.574219 1552699672.5203
MEM 79.574219 1552699672.6280
MEM 79.695312 1552699672.7397
MEM 79.695312 1552699672.8514
MEM 79.695312 1552699672.9591
MEM 79.695312 1552699673.0658
MEM 79.699219 1552699673.1735
MEM 79.765625 1552699673.2822
MEM 79.839844 1552699673.3939
MEM 79.910156 1552699673.5006
MEM 79.910156 1552699673.6074
MEM 79.929688 1552699673.7151
MEM 79.929688 1552699673.8238
MEM 79.929688 1552699673.9305
MEM 80.097656 1552699674.0382
MEM 80.179688 1552699674.1479
MEM 80.179688 1552699674.2546
MEM 80.179688 1552699674.3982
MEM 80.187500 1552699674.5179
MEM 80.187500 1552699674.6316
MEM 80.199219 1552699674.7483
MEM 80.335938 1552699674.8560
MEM 80.398438 1552699674.9617
MEM 80.460938 1552699675.0684
MEM 80.464844 1552699675.1772
MEM 80.464844 1552699675.2908
MEM 80.464844 1552699675.3976
MEM 80.652344 1552699675.5053
MEM 80.652344 1552699675.6140
MEM 80.652344 1552699675.7227
MEM 80.656250 1552699675.8324
MEM 80.718750 1552699675.9381
MEM 80.855469 1552699676.0448
MEM 80.917969 1552699676.1535
MEM 81.042969 1552699676.2593
MEM 81.042969 1552699676.3660
MEM 81.042969 1552699676.4727
MEM 81.042969 1552699676.5804
MEM 81.054688 1552699676.6921
MEM 81.222656 1552699676.8058
MEM 81.222656 1552699676.9135
MEM 81.222656 1552699677.0222
MEM 81.253906 1552699677.1289
MEM 81.253906 1552699677.2346
MEM 81.359375 1552699677.3414
MEM 81.507812 1552699677.4481
MEM 81.519531 1552699677.5588
MEM 81.527344 1552699677.6655
MEM 81.527344 1552699677.7722
MEM 81.531250 1552699677.8779
MEM 81.531250 1552699677.9856
MEM 81.531250 1552699678.0963
MEM 81.765625 1552699678.2041
MEM 81.765625 1552699678.3108
MEM 81.765625 1552699678.4205
MEM 81.765625 1552699678.5272
MEM 81.765625 1552699678.6329
MEM 81.808594 1552699678.7396
MEM 82.046875 1552699678.8463
MEM 82.113281 1552699678.9570
MEM 82.113281 1552699679.0647
MEM 82.113281 1552699679.1745
MEM 82.125000 1552699679.2832
MEM 82.296875 1552699679.3999
MEM 82.300781 1552699679.5066
MEM 82.300781 1552699679.6153
MEM 82.304688 1552699679.7240
MEM 82.304688 1552699679.8337
MEM 82.367188 1552699679.9454
MEM 82.429688 1552699680.0581
MEM 82.472656 1552699680.1788
MEM 82.488281 1552699680.2945
MEM 82.500000 1552699680.4002
MEM 82.503906 1552699680.5069
MEM 82.566406 1552699680.6156
MEM 82.570312 1552699680.7253
MEM 82.710938 1552699680.8370
MEM 82.710938 1552699680.9447
MEM 82.710938 1552699681.0534
MEM 82.710938 1552699681.1611
MEM 82.710938 1552699681.2679
MEM 82.710938 1552699681.3756
MEM 82.835938 1552699681.4823
MEM 82.917969 1552699681.5920
MEM 82.917969 1552699681.6977
MEM 82.917969 1552699681.8054
MEM 82.917969 1552699681.9111
MEM 82.917969 1552699682.0188
MEM 83.125000 1552699682.1345
MEM 83.128906 1552699682.2432
MEM 83.128906 1552699682.3520
MEM 83.128906 1552699682.4597
MEM 83.128906 1552699682.5654
MEM 83.191406 1552699682.6721
MEM 83.312500 1552699682.7778
MEM 83.390625 1552699682.8855
MEM 83.390625 1552699682.9962
MEM 83.464844 1552699683.1039
MEM 83.464844 1552699683.2127
MEM 83.464844 1552699683.3204
MEM 83.742188 1552699683.4371
MEM 83.742188 1552699683.5438
MEM 83.742188 1552699683.6505
MEM 83.742188 1552699683.7592
MEM 83.757812 1552699683.8649
MEM 83.890625 1552699683.9716
MEM 83.964844 1552699684.0773
MEM 83.996094 1552699684.1841
MEM 84.003906 1552699684.2948
MEM 84.019531 1552699684.4055
MEM 84.019531 1552699684.5132
MEM 84.242188 1552699684.6309
MEM 84.242188 1552699684.7416
MEM 84.242188 1552699684.8483
MEM 84.242188 1552699684.9560
MEM 84.246094 1552699685.0627
MEM 84.289062 1552699685.1694
MEM 84.453125 1552699685.2781
MEM 84.519531 1552699685.3988
MEM 84.519531 1552699685.5105
MEM 84.519531 1552699685.6302
MEM 84.519531 1552699685.7469
MEM 84.519531 1552699685.8536
MEM 84.531250 1552699685.9653
MEM 84.730469 1552699686.0840
MEM 84.730469 1552699686.1947
MEM 84.730469 1552699686.3024
MEM 84.734375 1552699686.4091
MEM 84.734375 1552699686.5158
MEM 84.796875 1552699686.6225
MEM 85.007812 1552699686.7302
MEM 85.007812 1552699686.8389
MEM 85.007812 1552699686.9447
MEM 85.007812 1552699687.0524
MEM 85.011719 1552699687.1611
MEM 85.320312 1552699687.2808
MEM 85.320312 1552699687.3875
MEM 85.320312 1552699687.4972
MEM 85.320312 1552699687.6039
MEM 85.328125 1552699687.7106
MEM 85.425781 1552699687.8163
MEM 85.582031 1552699687.9230
MEM 85.617188 1552699688.0308
MEM 85.621094 1552699688.1395
MEM 85.640625 1552699688.2462
MEM 85.820312 1552699688.3599
MEM 85.820312 1552699688.4726
MEM 85.820312 1552699688.5783
MEM 85.820312 1552699688.6860
MEM 85.820312 1552699688.7927
MEM 85.882812 1552699688.9004
MEM 85.921875 1552699689.0061
MEM 86.019531 1552699689.1129
MEM 86.082031 1552699689.2206
MEM 86.082031 1552699689.3283
MEM 86.082031 1552699689.4420
MEM 86.082031 1552699689.5477
MEM 86.304688 1552699689.6554
MEM 86.304688 1552699689.7661
MEM 86.304688 1552699689.8778
MEM 86.308594 1552699689.9845
MEM 86.308594 1552699690.0932
MEM 86.390625 1552699690.2010
MEM 86.390625 1552699690.3097
MEM 86.464844 1552699690.4164
MEM 86.464844 1552699690.5231
MEM 86.464844 1552699690.6308
MEM 86.464844 1552699690.7435
MEM 86.468750 1552699690.8642
MEM 86.468750 1552699690.9898
MEM 86.480469 1552699691.1215
MEM 86.730469 1552699691.2671
MEM 86.730469 1552699691.3828
MEM 86.730469 1552699691.4905
MEM 86.730469 1552699691.6002
MEM 86.734375 1552699691.7089
MEM 86.761719 1552699691.8166
MEM 87.003906 1552699691.9243
MEM 87.089844 1552699692.0321
MEM 87.097656 1552699692.1408
MEM 87.109375 1552699692.2475
MEM 87.257812 1552699692.3562
MEM 87.281250 1552699692.4659
MEM 87.281250 1552699692.5736
MEM 87.296875 1552699692.6813
MEM 87.296875 1552699692.7870
MEM 87.296875 1552699692.8927
MEM 87.394531 1552699692.9995
MEM 87.812500 1552699693.1072
MEM 87.812500 1552699693.2149
MEM 87.812500 1552699693.3226
MEM 87.812500 1552699693.4293
MEM 87.812500 1552699693.5390
MEM 88.011719 1552699693.6497
MEM 88.042969 1552699693.7584
MEM 88.042969 1552699693.8661
MEM 88.042969 1552699693.9739
MEM 88.042969 1552699694.0806
MEM 88.042969 1552699694.1893
MEM 88.105469 1552699694.2960
MEM 88.179688 1552699694.4067
MEM 88.191406 1552699694.5134
MEM 88.191406 1552699694.6201
MEM 88.195312 1552699694.7278
MEM 88.203125 1552699694.8386
MEM 88.214844 1552699694.9463
MEM 88.496094 1552699695.0540
MEM 88.496094 1552699695.1617
MEM 88.496094 1552699695.2704
MEM 88.496094 1552699695.3821
MEM 88.500000 1552699695.4898
MEM 88.535156 1552699695.5985
MEM 88.718750 1552699695.7062
MEM 88.781250 1552699695.8129
MEM 88.781250 1552699695.9197
MEM 88.792969 1552699696.0264
MEM 88.792969 1552699696.1341
MEM 88.992188 1552699696.2528
MEM 88.992188 1552699696.3714
MEM 88.992188 1552699696.4881
MEM 88.992188 1552699696.5978
MEM 88.992188 1552699696.7205
MEM 88.996094 1552699696.8362
MEM 88.996094 1552699696.9459
MEM 89.058594 1552699697.0546
MEM 89.125000 1552699697.1643
MEM 89.132812 1552699697.2760
MEM 89.199219 1552699697.3827
MEM 89.199219 1552699697.4904
MEM 89.210938 1552699697.6012
MEM 89.273438 1552699697.7109
MEM 89.382812 1552699697.8256
MEM 89.382812 1552699697.9343
MEM 89.382812 1552699698.0440
MEM 89.382812 1552699698.1507
MEM 89.390625 1552699698.2584
MEM 89.488281 1552699698.3641
MEM 89.703125 1552699698.4728
MEM 89.734375 1552699698.5825
MEM 89.742188 1552699698.6892
MEM 89.742188 1552699698.7960
MEM 89.742188 1552699698.9027
MEM 89.750000 1552699699.0114
MEM 89.980469 1552699699.1281
MEM 89.992188 1552699699.2368
MEM 89.992188 1552699699.3485
MEM 89.992188 1552699699.4552
MEM 89.992188 1552699699.5619
MEM 89.992188 1552699699.6686
MEM 90.117188 1552699699.7763
MEM 90.191406 1552699699.8830
MEM 90.265625 1552699699.9908
MEM 90.265625 1552699700.0975
MEM 90.265625 1552699700.2092
MEM 90.265625 1552699700.3289
MEM 90.402344 1552699700.4376
MEM 90.402344 1552699700.5523
MEM 90.402344 1552699700.6600
MEM 90.402344 1552699700.7657
MEM 90.406250 1552699700.8734
MEM 90.468750 1552699700.9811
MEM 90.531250 1552699701.0868
MEM 90.667969 1552699701.1945
MEM 90.679688 1552699701.3022
MEM 90.679688 1552699701.4120
MEM 90.679688 1552699701.5227
MEM 90.679688 1552699701.6304
MEM 90.878906 1552699701.7391
MEM 90.878906 1552699701.8697
MEM 90.878906 1552699702.0024
MEM 90.882812 1552699702.1141
MEM 90.882812 1552699702.2308
MEM 90.894531 1552699702.3405
MEM 91.035156 1552699702.4462
MEM 91.125000 1552699702.5529
MEM 91.156250 1552699702.6586
MEM 91.164062 1552699702.7663
MEM 91.175781 1552699702.8740
MEM 91.417969 1552699702.9887
MEM 91.417969 1552699703.0954
MEM 91.417969 1552699703.2012
MEM 91.421875 1552699703.3119
MEM 91.421875 1552699703.4176
MEM 91.546875 1552699703.5233
MEM 91.625000 1552699703.6300
MEM 91.687500 1552699703.7367
MEM 91.687500 1552699703.8464
MEM 91.687500 1552699703.9552
MEM 91.691406 1552699704.0629
MEM 91.816406 1552699704.1696
MEM 91.828125 1552699704.2793
MEM 91.828125 1552699704.3880
MEM 91.828125 1552699704.4947
MEM 91.832031 1552699704.6024
MEM 91.894531 1552699704.7121
MEM 91.988281 1552699704.8178
MEM 92.105469 1552699704.9246
MEM 92.105469 1552699705.0313
MEM 92.105469 1552699705.1380
MEM 92.105469 1552699705.2467
MEM 92.105469 1552699705.3694
MEM 92.273438 1552699705.4811
MEM 92.273438 1552699705.5898
MEM 92.273438 1552699705.6975
MEM 92.281250 1552699705.8032
MEM 92.378906 1552699705.9109
MEM 92.589844 1552699706.0176
MEM 92.589844 1552699706.1233
MEM 92.593750 1552699706.2301
MEM 92.605469 1552699706.3378
MEM 92.605469 1552699706.4455
MEM 92.605469 1552699706.5532
