CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 0.679688 1552918662.7715
MEM 12.234375 1552918662.8723
MEM 19.265625 1552918662.9730
MEM 25.339844 1552918663.0737
MEM 33.082031 1552918663.1745
MEM 40.210938 1552918663.2752
MEM 46.625000 1552918663.3759
MEM 54.050781 1552918663.4766
MEM 58.781250 1552918663.5773
MEM 63.261719 1552918663.6781
MEM 65.597656 1552918663.7788
MEM 65.660156 1552918663.8796
MEM 65.660156 1552918663.9803
MEM 67.558594 1552918664.0810
MEM 69.480469 1552918664.1817
MEM 71.417969 1552918664.2825
MEM 75.433594 1552918664.3832
MEM 76.902344 1552918664.4839
MEM 77.539062 1552918664.5847
MEM 77.601562 1552918664.6854
MEM 77.671875 1552918664.7861
MEM 77.722656 1552918664.8866
MEM 77.796875 1552918664.9874
MEM 77.832031 1552918665.0881
MEM 78.085938 1552918665.1888
MEM 78.351562 1552918665.2895
MEM 78.484375 1552918665.3903
MEM 78.609375 1552918665.4910
MEM 78.625000 1552918665.5917
MEM 78.695312 1552918665.6925
MEM 78.796875 1552918665.7932
MEM 78.941406 1552918665.8940
MEM 78.988281 1552918665.9947
MEM 79.097656 1552918666.0954
MEM 79.125000 1552918666.1961
MEM 79.222656 1552918666.2968
MEM 79.277344 1552918666.3976
MEM 79.339844 1552918666.4983
MEM 79.636719 1552918666.5990
MEM 79.644531 1552918666.6998
MEM 79.644531 1552918666.8005
MEM 79.644531 1552918666.9012
MEM 79.644531 1552918667.0020
MEM 79.652344 1552918667.1027
MEM 79.726562 1552918667.2034
MEM 79.855469 1552918667.3042
MEM 79.980469 1552918667.4049
MEM 80.105469 1552918667.5056
MEM 80.109375 1552918667.6123
MEM 80.109375 1552918667.7131
MEM 80.171875 1552918667.8138
MEM 80.171875 1552918667.9145
MEM 80.234375 1552918668.0152
MEM 80.285156 1552918668.1160
MEM 80.363281 1552918668.2167
MEM 80.425781 1552918668.3175
MEM 80.488281 1552918668.4182
MEM 80.519531 1552918668.5189
MEM 80.531250 1552918668.6197
MEM 80.531250 1552918668.7204
MEM 80.875000 1552918668.8211
MEM 80.882812 1552918668.9218
MEM 80.882812 1552918669.0226
MEM 80.882812 1552918669.1233
MEM 80.882812 1552918669.2240
MEM 80.886719 1552918669.3247
MEM 80.886719 1552918669.4255
MEM 81.011719 1552918669.5262
MEM 81.136719 1552918669.6269
MEM 81.304688 1552918669.7277
MEM 81.402344 1552918669.8284
MEM 81.421875 1552918669.9291
MEM 81.457031 1552918670.0299
MEM 81.527344 1552918670.1306
MEM 81.531250 1552918670.2313
MEM 81.593750 1552918670.3320
MEM 81.660156 1552918670.4328
MEM 81.667969 1552918670.5335
MEM 81.703125 1552918670.6342
MEM 81.785156 1552918670.7350
MEM 81.785156 1552918670.8357
MEM 82.070312 1552918670.9364
MEM 82.074219 1552918671.0372
MEM 82.074219 1552918671.1379
MEM 82.074219 1552918671.2386
MEM 82.074219 1552918671.3394
MEM 82.074219 1552918671.4401
MEM 82.078125 1552918671.5408
MEM 82.203125 1552918671.6415
MEM 82.339844 1552918671.7423
MEM 82.402344 1552918671.8430
MEM 82.464844 1552918671.9437
MEM 82.476562 1552918672.0445
MEM 82.507812 1552918672.1452
MEM 82.589844 1552918672.2459
MEM 82.589844 1552918672.3467
MEM 82.652344 1552918672.4474
MEM 82.714844 1552918672.5481
MEM 82.714844 1552918672.6489
MEM 82.734375 1552918672.7496
MEM 82.746094 1552918672.8503
MEM 83.054688 1552918672.9510
MEM 83.285156 1552918673.0528
MEM 83.304688 1552918673.1605
MEM 83.304688 1552918673.2672
MEM 83.304688 1552918673.3719
MEM 83.304688 1552918673.4736
MEM 83.304688 1552918673.5744
MEM 83.312500 1552918673.6761
MEM 83.320312 1552918673.7768
MEM 83.507812 1552918673.8776
MEM 83.644531 1552918673.9783
MEM 83.769531 1552918674.0790
MEM 83.792969 1552918674.1798
MEM 83.894531 1552918674.2805
MEM 83.894531 1552918674.3812
MEM 83.957031 1552918674.4819
MEM 84.019531 1552918674.5827
MEM 84.019531 1552918674.6834
MEM 84.027344 1552918674.7842
MEM 84.066406 1552918674.8849
MEM 84.144531 1552918674.9856
MEM 84.156250 1552918675.0863
MEM 84.406250 1552918675.1871
MEM 84.429688 1552918675.2878
MEM 84.429688 1552918675.3885
MEM 84.429688 1552918675.4891
MEM 84.429688 1552918675.5898
MEM 84.429688 1552918675.6901
MEM 84.429688 1552918675.7909
MEM 84.554688 1552918675.8916
MEM 84.679688 1552918675.9924
MEM 84.824219 1552918676.0931
MEM 84.878906 1552918676.1938
MEM 84.941406 1552918676.2945
MEM 85.003906 1552918676.3953
MEM 85.066406 1552918676.4960
MEM 85.070312 1552918676.5967
MEM 85.113281 1552918676.6975
MEM 85.191406 1552918676.7982
MEM 85.191406 1552918676.8989
MEM 85.253906 1552918676.9997
MEM 85.257812 1552918677.1004
MEM 85.257812 1552918677.2011
MEM 85.628906 1552918677.3019
MEM 85.636719 1552918677.4026
MEM 85.636719 1552918677.5033
MEM 85.636719 1552918677.6040
MEM 85.636719 1552918677.7048
MEM 85.644531 1552918677.8055
MEM 85.644531 1552918677.9062
MEM 85.769531 1552918678.0069
MEM 85.910156 1552918678.1077
MEM 86.031250 1552918678.2084
MEM 86.175781 1552918678.3091
MEM 86.242188 1552918678.4099
MEM 86.242188 1552918678.5106
MEM 86.253906 1552918678.6114
MEM 86.367188 1552918678.7131
MEM 86.367188 1552918678.8178
MEM 86.367188 1552918678.9245
MEM 86.429688 1552918679.0262
MEM 86.429688 1552918679.1270
MEM 86.492188 1552918679.2277
MEM 86.492188 1552918679.3284
MEM 86.535156 1552918679.4291
MEM 86.785156 1552918679.5299
MEM 86.796875 1552918679.6306
MEM 86.796875 1552918679.7313
MEM 86.796875 1552918679.8321
MEM 86.796875 1552918679.9328
MEM 86.796875 1552918680.0336
MEM 86.914062 1552918680.1343
MEM 87.039062 1552918680.2350
MEM 87.238281 1552918680.3357
MEM 87.300781 1552918680.4364
MEM 87.300781 1552918680.5372
MEM 87.335938 1552918680.6379
MEM 87.425781 1552918680.7386
MEM 87.425781 1552918680.8394
MEM 87.488281 1552918680.9401
MEM 87.550781 1552918681.0408
MEM 87.574219 1552918681.1416
MEM 87.675781 1552918681.2423
MEM 87.675781 1552918681.3430
MEM 87.675781 1552918681.4438
MEM 87.964844 1552918681.5445
MEM 87.964844 1552918681.6452
MEM 87.964844 1552918681.7459
MEM 87.964844 1552918681.8467
MEM 87.964844 1552918681.9474
MEM 87.968750 1552918682.0481
MEM 87.968750 1552918682.1489
MEM 88.027344 1552918682.2496
MEM 88.218750 1552918682.3503
MEM 88.355469 1552918682.4511
MEM 88.375000 1552918682.5518
MEM 88.480469 1552918682.6526
MEM 88.542969 1552918682.7533
MEM 88.605469 1552918682.8540
MEM 88.605469 1552918682.9547
MEM 88.605469 1552918683.0554
MEM 88.632812 1552918683.1562
MEM 88.730469 1552918683.2569
MEM 88.730469 1552918683.3576
MEM 88.730469 1552918683.4584
MEM 88.792969 1552918683.5591
MEM 88.792969 1552918683.6598
MEM 89.042969 1552918683.7606
MEM 89.046875 1552918683.8613
MEM 89.046875 1552918683.9620
MEM 89.046875 1552918684.0627
MEM 89.046875 1552918684.1734
MEM 89.046875 1552918684.2752
MEM 89.046875 1552918684.3839
MEM 89.046875 1552918684.4876
MEM 89.046875 1552918684.5883
MEM 89.109375 1552918684.6891
MEM 89.234375 1552918684.7898
MEM 89.308594 1552918684.8905
MEM 89.406250 1552918684.9913
MEM 89.496094 1552918685.0920
MEM 89.558594 1552918685.1927
MEM 89.621094 1552918685.2934
MEM 89.621094 1552918685.3942
MEM 89.644531 1552918685.4949
MEM 89.675781 1552918685.5956
MEM 89.765625 1552918685.6964
MEM 89.765625 1552918685.7971
MEM 89.828125 1552918685.8978
MEM 89.832031 1552918685.9986
MEM 89.847656 1552918686.0993
MEM 89.859375 1552918686.2000
MEM 90.046875 1552918686.3008
MEM 90.214844 1552918686.4015
MEM 90.214844 1552918686.5022
MEM 90.214844 1552918686.6029
MEM 90.214844 1552918686.7037
MEM 90.214844 1552918686.8044
MEM 90.218750 1552918686.9052
MEM 90.218750 1552918687.0059
MEM 90.347656 1552918687.1066
MEM 90.484375 1552918687.2073
MEM 90.609375 1552918687.3081
MEM 90.671875 1552918687.4088
MEM 90.734375 1552918687.5095
MEM 90.746094 1552918687.6103
MEM 90.792969 1552918687.7110
MEM 90.875000 1552918687.8117
MEM 90.937500 1552918687.9125
MEM 90.937500 1552918688.0132
MEM 91.000000 1552918688.1139
MEM 91.000000 1552918688.2147
MEM 91.015625 1552918688.3154
MEM 91.031250 1552918688.4161
MEM 91.250000 1552918688.5168
MEM 91.324219 1552918688.6176
MEM 91.324219 1552918688.7183
MEM 91.324219 1552918688.8190
MEM 91.324219 1552918688.9197
MEM 91.324219 1552918689.0205
MEM 91.328125 1552918689.1212
MEM 91.472656 1552918689.2219
MEM 73.703125 1552918689.3466
