CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 0.757812 1552681982.3097
MEM 12.703125 1552681982.4164
MEM 18.675781 1552681982.5231
MEM 19.457031 1552681982.6298
MEM 22.902344 1552681982.7375
MEM 23.542969 1552681982.8452
MEM 25.136719 1552681982.9519
MEM 25.683594 1552681983.0587
MEM 26.335938 1552681983.1664
MEM 26.589844 1552681983.2751
MEM 30.046875 1552681983.3848
MEM 35.839844 1552681983.4935
MEM 36.171875 1552681983.6052
MEM 37.640625 1552681983.7119
MEM 38.906250 1552681983.8176
MEM 40.429688 1552681983.9253
MEM 41.304688 1552681984.0311
MEM 41.550781 1552681984.1378
MEM 43.136719 1552681984.2455
MEM 44.335938 1552681984.3532
MEM 46.664062 1552681984.4609
MEM 49.195312 1552681984.5676
MEM 49.578125 1552681984.6743
MEM 54.320312 1552681984.7830
MEM 55.519531 1552681984.8907
MEM 56.085938 1552681984.9975
MEM 56.347656 1552681985.1042
MEM 56.988281 1552681985.2119
MEM 58.085938 1552681985.3186
MEM 58.667969 1552681985.4263
MEM 59.023438 1552681985.5340
MEM 59.523438 1552681985.6407
MEM 63.085938 1552681985.7475
MEM 63.160156 1552681985.8542
MEM 63.464844 1552681985.9609
MEM 63.511719 1552681986.0676
MEM 63.671875 1552681986.1743
MEM 64.191406 1552681986.2810
MEM 64.347656 1552681986.3877
MEM 64.582031 1552681986.4945
MEM 65.078125 1552681986.6022
MEM 65.312500 1552681986.7089
MEM 65.500000 1552681986.8166
MEM 65.699219 1552681986.9223
MEM 65.699219 1552681987.0310
MEM 65.710938 1552681987.1377
MEM 65.773438 1552681987.2445
MEM 65.855469 1552681987.3512
MEM 66.140625 1552681987.4579
MEM 66.460938 1552681987.5646
MEM 67.296875 1552681987.6723
MEM 67.449219 1552681987.7800
MEM 67.761719 1552681987.8887
MEM 72.632812 1552681988.0044
MEM 76.703125 1552681988.1131
MEM 78.777344 1552681988.2228
MEM 79.011719 1552681988.3305
MEM 79.082031 1552681988.4403
MEM 79.132812 1552681988.5480
MEM 79.312500 1552681988.6537
MEM 79.406250 1552681988.7634
MEM 79.562500 1552681988.8851
MEM 79.679688 1552681988.9988
MEM 79.679688 1552681989.1055
MEM 79.750000 1552681989.2122
MEM 79.750000 1552681989.3189
MEM 79.750000 1552681989.4276
MEM 79.750000 1552681989.5353
MEM 79.812500 1552681989.6430
MEM 79.812500 1552681989.7507
MEM 79.812500 1552681989.8585
MEM 79.812500 1552681989.9652
MEM 79.812500 1552681990.0719
MEM 79.812500 1552681990.1796
MEM 79.812500 1552681990.2863
MEM 79.812500 1552681990.3940
MEM 79.812500 1552681990.5027
MEM 79.812500 1552681990.6104
