CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 2.007812 1552675549.6573
MEM 9.347656 1552675549.7615
MEM 12.390625 1552675549.8627
MEM 16.062500 1552675549.9640
MEM 18.167969 1552675550.0657
MEM 18.601562 1552675550.1674
MEM 18.621094 1552675550.2712
MEM 20.640625 1552675550.3719
MEM 21.781250 1552675550.4726
MEM 22.847656 1552675550.5734
MEM 24.593750 1552675550.6741
MEM 26.121094 1552675550.7758
MEM 26.312500 1552675550.8765
MEM 26.433594 1552675550.9783
MEM 26.507812 1552675551.0791
MEM 26.835938 1552675551.1818
MEM 27.054688 1552675551.2825
MEM 28.957031 1552675551.3828
MEM 30.144531 1552675551.4830
MEM 30.875000 1552675551.5837
MEM 31.851562 1552675551.6845
MEM 32.652344 1552675551.7852
MEM 33.250000 1552675551.8859
MEM 33.722656 1552675551.9866
MEM 34.664062 1552675552.0874
MEM 35.644531 1552675552.1881
MEM 35.894531 1552675552.2918
MEM 36.000000 1552675552.3926
MEM 36.457031 1552675552.4953
MEM 37.468750 1552675552.5960
MEM 38.304688 1552675552.6968
MEM 39.117188 1552675552.8035
MEM 40.312500 1552675552.9044
MEM 40.312500 1552675553.0051
MEM 40.558594 1552675553.1059
MEM 41.246094 1552675553.2066
MEM 42.878906 1552675553.3073
MEM 43.398438 1552675553.4081
MEM 43.878906 1552675553.5148
MEM 44.214844 1552675553.6155
MEM 44.214844 1552675553.7163
MEM 44.695312 1552675553.8271
MEM 44.839844 1552675553.9278
MEM 45.136719 1552675554.0285
MEM 46.023438 1552675554.1292
MEM 46.023438 1552675554.2295
MEM 46.351562 1552675554.3362
MEM 48.062500 1552675554.4369
MEM 49.003906 1552675554.5397
MEM 49.386719 1552675554.6464
MEM 49.781250 1552675554.7481
MEM 50.074219 1552675554.8488
MEM 50.929688 1552675554.9506
MEM 52.234375 1552675555.0513
MEM 53.046875 1552675555.1520
MEM 54.527344 1552675555.2521
MEM 55.003906 1552675555.3529
MEM 55.824219 1552675555.4566
MEM 55.925781 1552675555.5573
MEM 56.207031 1552675555.6580
MEM 56.589844 1552675555.7588
MEM 56.753906 1552675555.8605
MEM 57.941406 1552675555.9612
MEM 58.128906 1552675556.0621
MEM 58.660156 1552675556.1628
MEM 59.156250 1552675556.2636
MEM 59.339844 1552675556.3643
MEM 59.527344 1552675556.4650
MEM 62.929688 1552675556.5654
MEM 62.992188 1552675556.6662
MEM 62.992188 1552675556.7669
MEM 63.316406 1552675556.8676
MEM 63.339844 1552675556.9684
MEM 63.441406 1552675557.0691
MEM 63.785156 1552675557.1698
MEM 63.910156 1552675557.2725
MEM 64.160156 1552675557.3753
MEM 64.347656 1552675557.4810
MEM 64.410156 1552675557.6017
MEM 64.656250 1552675557.7044
MEM 64.906250 1552675557.8051
MEM 65.027344 1552675557.9138
MEM 65.089844 1552675558.0235
MEM 65.152344 1552675558.1442
MEM 65.277344 1552675558.2539
MEM 65.339844 1552675558.3547
MEM 65.449219 1552675558.4584
MEM 65.539062 1552675558.5661
MEM 65.539062 1552675558.7082
MEM 65.539062 1552675558.8193
MEM 65.539062 1552675558.9264
MEM 65.539062 1552675559.0273
MEM 65.550781 1552675559.1293
MEM 65.613281 1552675559.2315
MEM 65.675781 1552675559.3323
MEM 65.714844 1552675559.4362
MEM 66.015625 1552675559.5371
MEM 66.273438 1552675559.6405
MEM 66.761719 1552675559.7412
MEM 67.488281 1552675559.8422
MEM 67.625000 1552675559.9429
MEM 67.761719 1552675560.0437
MEM 68.601562 1552675560.1464
MEM 70.742188 1552675560.2481
MEM 71.207031 1552675560.3488
MEM 71.609375 1552675560.4496
MEM 72.261719 1552675560.5503
MEM 72.460938 1552675560.6510
MEM 72.527344 1552675560.7518
MEM 72.828125 1552675560.8530
MEM 75.265625 1552675560.9547
MEM 76.679688 1552675561.0654
MEM 77.703125 1552675561.1881
MEM 78.910156 1552675561.3018
MEM 79.062500 1552675561.4145
MEM 79.125000 1552675561.5507
MEM 79.128906 1552675561.6520
MEM 79.152344 1552675561.7537
MEM 79.214844 1552675561.8574
MEM 79.253906 1552675561.9661
MEM 79.308594 1552675562.0888
MEM 79.324219 1552675562.2274
MEM 79.445312 1552675562.3461
MEM 79.535156 1552675562.4698
MEM 79.664062 1552675562.5785
MEM 79.695312 1552675562.6822
MEM 79.734375 1552675562.8159
MEM 79.742188 1552675562.9365
MEM 79.742188 1552675563.0582
MEM 79.750000 1552675563.1629
MEM 79.750000 1552675563.2726
MEM 79.753906 1552675563.3833
MEM 79.757812 1552675563.4851
MEM 79.761719 1552675563.5857
MEM 79.824219 1552675563.6865
MEM 79.824219 1552675563.7867
MEM 79.824219 1552675563.8870
MEM 79.824219 1552675563.9883
MEM 79.824219 1552675564.0910
MEM 79.824219 1552675564.1917
MEM 79.824219 1552675564.2925
MEM 79.824219 1552675564.3932
MEM 79.824219 1552675564.4939
MEM 79.824219 1552675564.5956
MEM 79.824219 1552675564.6964
MEM 79.824219 1552675564.7966
MEM 79.824219 1552675564.8984
MEM 79.824219 1552675564.9991
MEM 79.824219 1552675565.1010
MEM 79.824219 1552675565.2048
MEM 79.824219 1552675565.3050
MEM 79.824219 1552675565.4052
MEM 79.824219 1552675565.5060
MEM 79.886719 1552675565.6067
MEM 79.886719 1552675565.7074
MEM 79.886719 1552675565.8082
MEM 79.890625 1552675565.9109
MEM 79.890625 1552675566.0126
MEM 79.890625 1552675566.1143
MEM 79.890625 1552675566.2161
MEM 79.890625 1552675566.3178
MEM 79.890625 1552675566.4185
MEM 79.890625 1552675566.5222
MEM 79.890625 1552675566.6230
MEM 79.972656 1552675566.7242
MEM 79.984375 1552675566.8314
MEM 79.984375 1552675566.9322
MEM 79.984375 1552675567.0322
MEM 79.984375 1552675567.1330
MEM 79.984375 1552675567.2337
MEM 79.980469 1552675567.3339
MEM 79.980469 1552675567.4342
MEM 79.980469 1552675567.5349
MEM 79.980469 1552675567.6356
MEM 79.980469 1552675567.7573
MEM 79.980469 1552675567.8580
MEM 79.980469 1552675567.9588
MEM 79.980469 1552675568.0615
MEM 79.980469 1552675568.1622
MEM 79.980469 1552675568.2630
MEM 79.980469 1552675568.3637
MEM 79.980469 1552675568.4644
MEM 79.980469 1552675568.5652
MEM 79.980469 1552675568.6669
MEM 79.980469 1552675568.7706
MEM 79.980469 1552675568.8708
MEM 80.042969 1552675568.9711
MEM 80.042969 1552675569.0719
MEM 80.042969 1552675569.1726
MEM 80.042969 1552675569.2733
MEM 80.042969 1552675569.3741
MEM 80.042969 1552675569.4749
MEM 80.042969 1552675569.5765
MEM 80.042969 1552675569.6772
MEM 80.042969 1552675569.7800
MEM 80.042969 1552675569.8807
MEM 80.042969 1552675569.9810
MEM 80.042969 1552675570.0813
