CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 0.714844 1552699459.4085
MEM 12.390625 1552699459.5142
MEM 21.039062 1552699459.6229
MEM 26.332031 1552699459.7306
MEM 35.863281 1552699459.8393
MEM 42.265625 1552699459.9471
MEM 50.906250 1552699460.0548
MEM 55.875000 1552699460.1615
MEM 60.671875 1552699460.2702
MEM 64.027344 1552699460.3779
MEM 65.460938 1552699460.4846
MEM 65.460938 1552699460.5933
MEM 65.535156 1552699460.7010
MEM 70.718750 1552699460.8078
MEM 75.039062 1552699460.9185
MEM 76.960938 1552699461.0272
MEM 77.074219 1552699461.1389
MEM 77.128906 1552699461.2526
MEM 77.183594 1552699461.3593
MEM 77.242188 1552699461.4680
MEM 77.449219 1552699461.5737
MEM 77.640625 1552699461.6804
MEM 77.781250 1552699461.7881
MEM 77.781250 1552699461.8939
MEM 77.843750 1552699462.0036
MEM 77.843750 1552699462.1113
MEM 77.847656 1552699462.2190
MEM 77.851562 1552699462.3277
MEM 77.851562 1552699462.4344
MEM 77.851562 1552699462.5401
MEM 77.851562 1552699462.6468
MEM 77.851562 1552699462.7526
MEM 77.851562 1552699462.8802
MEM 77.851562 1552699462.9929
MEM 77.851562 1552699463.1146
MEM 77.914062 1552699463.2223
MEM 77.914062 1552699463.3290
MEM 77.914062 1552699463.4367
MEM 77.914062 1552699463.5424
MEM 77.914062 1552699463.6492
MEM 77.914062 1552699463.7569
MEM 77.914062 1552699463.8626
MEM 77.914062 1552699463.9703
MEM 77.914062 1552699464.0780
MEM 77.921875 1552699464.1857
MEM 77.933594 1552699464.2924
MEM 77.945312 1552699464.3991
MEM 77.949219 1552699464.5069
MEM 77.957031 1552699464.6126
MEM 77.960938 1552699464.7193
MEM 77.972656 1552699464.8280
MEM 77.972656 1552699464.9357
MEM 77.984375 1552699465.0424
MEM 77.988281 1552699465.1501
MEM 78.050781 1552699465.2559
MEM 78.050781 1552699465.3626
MEM 78.050781 1552699465.4703
MEM 78.050781 1552699465.5770
MEM 78.050781 1552699465.6837
MEM 78.050781 1552699465.7914
MEM 78.113281 1552699465.8981
MEM 78.132812 1552699466.0078
MEM 78.132812 1552699466.1146
MEM 78.144531 1552699466.2223
MEM 78.144531 1552699466.3300
MEM 78.144531 1552699466.4377
MEM 78.144531 1552699466.5444
MEM 78.144531 1552699466.6521
MEM 78.144531 1552699466.7588
MEM 78.207031 1552699466.8665
MEM 78.207031 1552699466.9733
MEM 78.261719 1552699467.0810
MEM 78.500000 1552699467.1967
MEM 78.507812 1552699467.3054
MEM 78.507812 1552699467.4141
MEM 78.515625 1552699467.5218
MEM 78.523438 1552699467.6275
MEM 78.613281 1552699467.7352
MEM 78.773438 1552699467.8419
MEM 78.847656 1552699467.9496
MEM 78.851562 1552699468.0564
MEM 78.851562 1552699468.1631
MEM 78.851562 1552699468.2857
MEM 78.851562 1552699468.4064
MEM 78.851562 1552699468.5261
MEM 78.851562 1552699468.6528
MEM 78.851562 1552699468.7595
MEM 78.851562 1552699468.8662
MEM 78.851562 1552699468.9739
MEM 78.851562 1552699469.0806
MEM 78.851562 1552699469.1873
MEM 78.851562 1552699469.2941
MEM 78.851562 1552699469.4008
MEM 78.851562 1552699469.5075
MEM 78.851562 1552699469.6142
MEM 78.859375 1552699469.7219
MEM 78.867188 1552699469.8286
MEM 78.871094 1552699469.9363
MEM 78.875000 1552699470.0440
MEM 78.878906 1552699470.1518
MEM 78.882812 1552699470.2575
MEM 78.886719 1552699470.3662
MEM 78.890625 1552699470.4719
MEM 78.898438 1552699470.5796
MEM 78.898438 1552699470.6963
MEM 78.906250 1552699470.8040
MEM 78.910156 1552699470.9117
MEM 78.914062 1552699471.0184
MEM 78.980469 1552699471.1271
MEM 78.988281 1552699471.2349
MEM 78.988281 1552699471.3426
MEM 78.988281 1552699471.4493
MEM 78.988281 1552699471.5560
MEM 78.988281 1552699471.6627
MEM 78.988281 1552699471.7694
